County,Race,Coverage,Total Count
Wyoming,Multiple/Other,Fully Covered,42
Wyoming,Multiple/Other,Partially Covered,43
Wyoming,Unknown,Fully Covered,275
Wyoming,Unknown,Partially Covered,262
Wyoming,White,Fully Covered,628
Wyoming,White,Partially Covered,1977
York,African American,Fully Covered,318
York,African American,Partially Covered,426
York,Asian,Fully Covered,27
York,Asian,Partially Covered,25
York,Multiple/Other,Fully Covered,870
York,Multiple/Other,Partially Covered,771
York,Unknown,Fully Covered,2406
York,Unknown,Partially Covered,2614
York,White,Fully Covered,11658
York,White,Partially Covered,19745
Out-of-State,African American,Fully Covered,832
Out-of-State,African American,Partially Covered,1021
Out-of-State,Asian,Fully Covered,73
Out-of-State,Asian,Partially Covered,106
Out-of-State,Multiple/Other,Fully Covered,1260
Out-of-State,Multiple/Other,Partially Covered,2970
Out-of-State,Unknown,Fully Covered,15926
Out-of-State,Unknown,Partially Covered,29842
Out-of-State,White,Fully Covered,19819
Out-of-State,White,Partially Covered,29331
